transaction_id,user_id,amount,transaction_type,category,transaction_date,merchant,is_suspicious
1,133,48215.23,debit,transport,2025-10-06 02:34:19.224676,Merchant_15,True
2,170,31744.42,debit,shopping,2025-06-18 21:29:19.224676,Merchant_95,True
3,979,38177.41,debit,shopping,2025-06-08 03:54:19.224676,Merchant_84,True
4,373,32936.96,debit,transfer,2025-08-31 04:08:19.224676,Merchant_37,True
5,201,2509.3,debit,withdrawal,2025-06-19 00:29:19.224676,Merchant_17,False
6,859,39660.74,debit,shopping,2025-10-27 16:33:19.224676,Merchant_12,True
7,711,37830.72,credit,shopping,2025-07-01 12:17:19.224676,Merchant_53,False
8,336,37528.32,debit,entertainment,2025-10-21 04:52:19.224676,Merchant_15,True
9,460,23812.1,debit,withdrawal,2025-10-10 16:09:19.224676,Merchant_32,False
10,528,16390.1,credit,health,2025-07-07 21:22:19.224676,Merchant_47,False
11,796,45051.21,credit,withdrawal,2025-09-21 17:16:19.224676,Merchant_96,False
12,373,45612.8,credit,transport,2025-05-12 02:16:19.224676,Merchant_82,False
13,862,15225.41,credit,withdrawal,2025-05-20 16:41:19.224676,Merchant_48,False
14,665,42097.99,credit,salary,2025-08-09 14:16:19.224676,Merchant_72,False
15,388,37230.85,debit,withdrawal,2025-06-07 14:21:19.224676,Merchant_26,True
16,720,43844.1,credit,food,2025-07-21 07:09:19.224676,Merchant_64,False
17,444,36451.67,credit,withdrawal,2025-10-06 22:01:19.224676,Merchant_71,False
18,489,30871.93,debit,salary,2025-05-18 12:15:19.224676,Merchant_61,True
19,793,12583.01,credit,transfer,2025-09-02 22:24:19.224676,Merchant_11,False
20,348,5436.35,debit,shopping,2025-09-24 23:40:19.224676,Merchant_32,False
21,316,42034.14,debit,transfer,2025-07-16 16:30:19.224676,Merchant_16,True
22,974,44094.87,credit,food,2025-05-10 20:44:19.224676,Merchant_99,False
23,955,20573.56,credit,food,2025-06-16 21:14:19.224676,Merchant_65,False
24,527,32926.31,debit,health,2025-07-05 04:11:19.224676,Merchant_34,True
25,613,46718.3,debit,health,2025-06-21 10:05:19.224676,Merchant_76,True
26,254,4067.13,credit,health,2025-05-28 13:54:19.224676,Merchant_49,False
27,364,28258.56,credit,food,2025-10-09 23:07:19.224676,Merchant_13,False
28,916,8241.05,credit,health,2025-05-27 19:05:19.224676,Merchant_31,False
29,284,35751.44,credit,food,2025-09-12 15:01:19.224676,Merchant_17,False
30,28,25232.76,credit,transport,2025-05-25 09:09:19.224676,Merchant_41,False
31,880,29308.46,credit,transfer,2025-09-15 08:57:19.224676,Merchant_92,False
32,722,30428.55,debit,food,2025-10-21 05:42:19.224676,Merchant_25,True
33,184,8812.42,debit,food,2025-08-02 12:06:19.224676,Merchant_66,False
34,286,6032.16,debit,health,2025-09-27 19:45:19.224676,Merchant_8,False
35,557,42502.03,credit,transport,2025-09-28 18:59:19.224676,Merchant_40,False
36,776,8001.46,debit,entertainment,2025-08-19 05:46:19.224676,Merchant_44,False
37,568,25249.29,debit,food,2025-09-30 15:25:19.224676,Merchant_95,False
38,508,33902.72,debit,withdrawal,2025-09-25 12:52:19.224676,Merchant_58,True
39,594,7998.85,debit,shopping,2025-09-05 02:49:19.224676,Merchant_54,False
40,368,49926.16,debit,salary,2025-09-26 04:38:19.224676,Merchant_37,True
41,449,45940.21,credit,food,2025-08-26 03:45:19.224676,Merchant_3,False
42,155,39011.13,credit,health,2025-06-30 03:01:19.224676,Merchant_88,False
43,936,254.17,debit,health,2025-06-12 20:13:19.224676,Merchant_68,False
44,985,11701.74,debit,entertainment,2025-10-31 22:05:19.224676,Merchant_1,False
45,8,38922.37,credit,food,2025-06-03 23:53:19.224676,Merchant_48,False
46,109,31587.65,credit,transport,2025-05-11 13:56:19.224676,Merchant_8,False
47,166,6271.96,debit,entertainment,2025-08-11 14:27:19.224676,Merchant_56,False
48,447,24655.61,credit,transport,2025-06-20 08:15:19.224676,Merchant_2,False
49,665,31589.09,debit,shopping,2025-05-29 14:44:19.224676,Merchant_90,True
50,631,41842.79,credit,withdrawal,2025-05-27 01:06:19.224676,Merchant_93,False
51,278,3500.3,credit,salary,2025-10-18 17:09:19.224676,Merchant_78,False
52,837,44644.51,debit,salary,2025-05-29 12:31:19.224676,Merchant_58,True
53,912,31867.13,credit,withdrawal,2025-09-03 18:18:19.224676,Merchant_18,False
54,525,3844.16,debit,health,2025-05-22 14:08:19.224676,Merchant_74,False
55,556,41111.09,debit,transport,2025-05-30 19:12:19.224676,Merchant_43,True
56,888,38270.57,debit,health,2025-08-14 05:30:19.224676,Merchant_47,True
57,225,34801.63,credit,entertainment,2025-08-19 23:27:19.224676,Merchant_33,False
58,572,20409.34,credit,shopping,2025-10-11 09:04:19.224676,Merchant_93,False
59,786,46008.22,debit,entertainment,2025-09-16 09:26:19.224676,Merchant_83,True
60,205,14372.45,credit,health,2025-10-03 06:18:19.224676,Merchant_95,False
61,138,48274.24,credit,salary,2025-07-23 16:03:19.224676,Merchant_21,False
62,733,1664.48,credit,withdrawal,2025-06-14 09:54:19.224676,Merchant_16,False
63,938,4773.56,credit,transfer,2025-06-22 03:36:19.224676,Merchant_18,False
64,550,46691.22,credit,transfer,2025-06-11 01:42:19.224676,Merchant_61,False
65,380,47319.73,credit,salary,2025-09-23 11:13:19.224676,Merchant_4,False
66,489,10975.64,credit,food,2025-08-21 17:00:19.224676,Merchant_36,False
67,52,21562.31,credit,health,2025-07-12 23:41:19.224676,Merchant_70,False
68,182,45260.18,debit,withdrawal,2025-06-02 18:31:19.224676,Merchant_26,True
69,913,32872.79,debit,transfer,2025-07-10 06:11:19.224676,Merchant_75,True
70,144,43893.56,debit,withdrawal,2025-09-02 05:23:19.224676,Merchant_81,True
71,239,2134.06,debit,health,2025-08-29 07:44:19.224676,Merchant_85,False
72,521,14597.61,debit,health,2025-08-29 07:41:19.224676,Merchant_62,False
73,955,26273.21,debit,entertainment,2025-10-01 21:41:19.224676,Merchant_86,False
74,314,9047.49,debit,transport,2025-09-14 12:00:19.224676,Merchant_44,False
75,280,22967.8,credit,transport,2025-06-16 11:55:19.224676,Merchant_1,False
76,458,17139.18,debit,salary,2025-10-27 16:26:19.224676,Merchant_4,False
77,571,31583.75,debit,transport,2025-09-13 11:53:19.224676,Merchant_23,True
78,291,44033.75,debit,health,2025-07-13 14:40:19.224676,Merchant_63,True
79,353,48639.76,debit,withdrawal,2025-10-21 09:55:19.224676,Merchant_21,True
80,624,46778.07,credit,transfer,2025-07-19 00:55:19.224676,Merchant_21,False
81,281,21820.67,debit,transfer,2025-10-22 18:18:19.224676,Merchant_58,False
82,829,46230.72,debit,health,2025-05-26 12:48:19.224676,Merchant_82,True
83,859,11725.74,debit,salary,2025-10-17 08:39:19.224676,Merchant_45,False
84,101,5956.01,credit,health,2025-08-20 06:41:19.224676,Merchant_96,False
85,502,29761.64,credit,salary,2025-07-06 06:13:19.224676,Merchant_12,False
86,961,20223.71,debit,food,2025-10-26 08:11:19.224676,Merchant_53,False
87,503,42111.87,credit,shopping,2025-10-05 09:13:19.224676,Merchant_91,False
88,593,17079.55,debit,transport,2025-07-24 05:43:19.224676,Merchant_61,False
89,24,39151.88,credit,shopping,2025-06-28 21:28:19.224676,Merchant_84,False
90,366,1641.38,credit,transfer,2025-05-11 19:21:19.224676,Merchant_58,False
91,494,39469.99,credit,transport,2025-10-27 02:23:19.224676,Merchant_5,False
92,69,47144.44,credit,salary,2025-08-23 10:37:19.224676,Merchant_82,False
93,789,41429.09,credit,entertainment,2025-06-20 14:40:19.224676,Merchant_34,False
94,985,44255.25,debit,transport,2025-10-06 08:02:19.224676,Merchant_40,True
95,861,35216.13,debit,salary,2025-08-04 23:13:19.224676,Merchant_58,True
96,282,44265.22,debit,transfer,2025-05-20 17:39:19.224676,Merchant_21,True
97,115,37680.3,debit,entertainment,2025-08-18 23:43:19.224676,Merchant_26,True
98,820,45979.11,credit,entertainment,2025-06-01 20:18:19.224676,Merchant_97,False
99,200,11608.58,debit,shopping,2025-05-18 10:04:19.224676,Merchant_48,False
100,978,43237.99,debit,withdrawal,2025-10-13 23:48:19.224676,Merchant_48,True
101,640,35884.07,credit,transport,2025-06-22 11:38:19.224676,Merchant_37,False
102,322,25181.24,debit,withdrawal,2025-09-18 09:38:19.224676,Merchant_81,False
103,472,3885.13,debit,food,2025-10-08 23:51:19.224676,Merchant_37,False
104,628,16027.95,credit,shopping,2025-06-02 04:28:19.224676,Merchant_25,False
105,555,26711.6,debit,transport,2025-06-17 15:49:19.224676,Merchant_11,False
106,552,37017.22,credit,shopping,2025-10-24 20:59:19.224676,Merchant_18,False
107,268,28888.17,credit,transport,2025-09-07 10:49:19.224676,Merchant_95,False
108,440,43416.42,credit,salary,2025-10-28 07:18:19.224676,Merchant_93,False
109,238,7299.29,credit,withdrawal,2025-08-10 02:35:19.224676,Merchant_31,False
110,143,30037.68,credit,shopping,2025-08-06 20:59:19.224676,Merchant_3,False
111,699,19047.82,debit,transport,2025-07-17 19:03:19.224676,Merchant_25,False
112,707,12209.03,debit,shopping,2025-06-29 22:10:19.224676,Merchant_64,False
113,595,34417.32,debit,entertainment,2025-09-03 17:54:19.224676,Merchant_42,True
114,947,44092.03,credit,shopping,2025-10-02 20:15:19.224676,Merchant_9,False
115,284,36344.13,debit,entertainment,2025-09-05 20:57:19.224676,Merchant_79,True
116,11,49320.63,debit,withdrawal,2025-09-17 07:29:19.224676,Merchant_45,True
117,115,33567.01,credit,transfer,2025-06-21 04:05:19.224676,Merchant_86,False
118,81,49378.45,credit,shopping,2025-10-20 05:27:19.224676,Merchant_29,False
119,559,43270.3,debit,transport,2025-06-14 07:42:19.224676,Merchant_51,True
120,152,28626.16,credit,shopping,2025-05-30 02:10:19.224676,Merchant_68,False
121,837,39728.42,debit,transfer,2025-10-12 12:03:19.224676,Merchant_18,True
122,855,23616.74,credit,transfer,2025-08-10 20:39:19.224676,Merchant_82,False
123,25,8589.58,credit,entertainment,2025-07-07 02:50:19.224676,Merchant_26,False
124,409,11033.39,debit,salary,2025-07-02 02:11:19.224676,Merchant_40,False
125,130,28471.67,debit,salary,2025-09-25 16:35:19.224676,Merchant_98,False
126,668,17196.79,debit,transfer,2025-08-16 11:28:19.224676,Merchant_84,False
127,109,28577.77,credit,transfer,2025-06-27 00:13:19.224676,Merchant_96,False
128,206,29765.33,debit,food,2025-08-21 00:25:19.224676,Merchant_65,False
129,394,41465.01,credit,transfer,2025-05-15 22:21:19.224676,Merchant_39,False
130,657,6138.94,debit,shopping,2025-10-13 10:11:19.224676,Merchant_27,False
131,254,8321.43,debit,transfer,2025-09-23 01:18:19.224676,Merchant_28,False
132,532,33701.49,debit,salary,2025-09-11 23:39:19.224676,Merchant_21,True
133,800,29002.13,debit,transfer,2025-07-13 05:17:19.224676,Merchant_80,False
134,445,43688.6,credit,health,2025-06-19 15:46:19.224676,Merchant_82,False
135,285,26018.78,debit,shopping,2025-08-30 14:58:19.224676,Merchant_41,False
136,697,21575.43,debit,health,2025-07-24 16:43:19.224676,Merchant_32,False
137,619,6890.54,credit,withdrawal,2025-05-15 01:14:19.224676,Merchant_49,False
138,922,36353.25,credit,food,2025-08-08 22:35:19.224676,Merchant_54,False
139,776,31630.27,debit,transfer,2025-06-29 10:33:19.224676,Merchant_21,True
140,127,8009.28,debit,food,2025-09-15 04:48:19.224676,Merchant_61,False
141,357,37888.83,debit,transfer,2025-10-12 23:52:19.224676,Merchant_56,True
142,301,38532.39,debit,health,2025-06-07 09:41:19.224676,Merchant_54,True
143,86,26198.12,debit,salary,2025-07-24 13:59:19.224676,Merchant_93,False
144,143,5007.75,credit,transfer,2025-06-20 08:57:19.224676,Merchant_82,False
145,111,46178.67,debit,withdrawal,2025-07-01 02:33:19.224676,Merchant_30,True
146,591,43789.79,debit,entertainment,2025-10-19 03:04:19.224676,Merchant_30,True
147,990,8929.23,credit,food,2025-10-24 02:54:19.224676,Merchant_84,False
148,416,6148.98,debit,transport,2025-09-17 10:51:19.224676,Merchant_17,False
149,33,25991.22,debit,health,2025-07-28 23:27:19.224676,Merchant_65,False
150,299,18420.25,debit,salary,2025-08-23 18:05:19.224676,Merchant_14,False
151,67,41229.07,debit,food,2025-05-16 07:17:19.224676,Merchant_40,True
152,16,26176.2,credit,salary,2025-05-31 04:28:19.224676,Merchant_46,False
153,156,13630.59,debit,salary,2025-10-30 11:28:19.224676,Merchant_100,False
154,899,14008.02,debit,entertainment,2025-07-23 06:31:19.224676,Merchant_36,False
155,861,1775.79,debit,entertainment,2025-08-29 13:51:19.224676,Merchant_33,False
156,546,19821.43,credit,transfer,2025-10-10 16:47:19.224676,Merchant_50,False
157,582,40726.74,credit,shopping,2025-08-12 07:56:19.224676,Merchant_4,False
158,960,6785.06,debit,health,2025-09-26 11:24:19.224676,Merchant_61,False
159,649,48714.69,credit,salary,2025-05-19 23:47:19.224676,Merchant_78,False
160,806,9644.92,debit,transfer,2025-10-02 18:36:19.224676,Merchant_30,False
161,199,16888.79,debit,transport,2025-08-11 03:43:19.224676,Merchant_33,False
162,189,42194.52,credit,withdrawal,2025-10-07 23:10:19.224676,Merchant_76,False
163,484,20041.04,credit,shopping,2025-09-26 08:18:19.224676,Merchant_19,False
164,676,23787.88,debit,salary,2025-07-02 01:38:19.224676,Merchant_37,False
165,742,35290.17,credit,entertainment,2025-06-10 02:54:19.224676,Merchant_28,False
166,70,18961.97,credit,salary,2025-06-24 13:00:19.224676,Merchant_84,False
167,101,48038.91,debit,transfer,2025-08-28 06:46:19.224676,Merchant_98,True
168,43,45454.89,credit,food,2025-07-03 16:36:19.224676,Merchant_99,False
169,837,41882.98,credit,entertainment,2025-09-14 11:13:19.224676,Merchant_98,False
170,964,37358.16,debit,withdrawal,2025-06-05 05:17:19.224676,Merchant_21,True
171,526,23449.13,debit,transfer,2025-06-12 12:20:19.224676,Merchant_84,False
172,572,29277.71,debit,entertainment,2025-06-18 07:21:19.224676,Merchant_18,False
173,676,9505.25,credit,shopping,2025-08-19 20:44:19.224676,Merchant_1,False
174,274,17779.06,debit,transfer,2025-06-02 02:08:19.224676,Merchant_31,False
175,790,25398.72,credit,health,2025-09-26 08:59:19.224676,Merchant_8,False
176,617,49080.23,credit,withdrawal,2025-05-20 20:43:19.224676,Merchant_12,False
177,866,33485.22,debit,withdrawal,2025-06-16 03:36:19.224676,Merchant_93,True
178,65,17367.51,credit,entertainment,2025-09-14 00:04:19.224676,Merchant_4,False
